Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_512.jpg;0;0;0;0;99.66999;85.58897;0.0002332293;57.35999;-2.991301E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_561.jpg;0;0;0;0;99.66999;85.58897;0.0002330544;57.35999;-3.153696E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_612.jpg;0;0;0;0;99.66999;85.58897;0.0002328946;57.35999;-3.367309E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_661.jpg;0;0;0;0;99.66999;85.58897;0.0002329246;57.35999;-3.469732E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_708.jpg;0;0;0;0;99.66999;85.58897;0.0002329696;57.35999;-3.623366E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_758.jpg;0;0;0;0;99.66999;85.58897;0.0002329995;57.35999;-3.725788E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_811.jpg;0;0;0;0;99.66999;85.58897;0.0002328671;57.35999;-3.653355E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_860.jpg;0;0;0;0;99.66999;85.58897;0.0002328671;57.35999;-3.653355E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_911.jpg;0;0;0;0;99.66999;85.58897;0.0002331744;57.35999;-3.563387E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_08_960.jpg;0;0;0;0;99.66999;85.58897;0.0002330844;57.35999;-3.256119E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_011.jpg;0;0;0;0;99.66999;85.58897;0.0002333617;57.35999;-3.063735E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_060.jpg;0;0;0;0;99.66999;85.58897;0.0002335365;57.35999;-2.901333E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_111.jpg;0;0;0;0;99.66999;85.58897;0.0002337089;57.35999;-2.35047E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_157.jpg;0;0;0;0;99.66999;85.58897;0.0002338837;57.35999;-2.188068E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_208.jpg;0;0;0;0;99.66999;85.58897;0.000234101;57.35999;-1.790839E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_258.jpg;0;0;0;0;99.66999;85.58897;0.0002342309;57.35999;-1.474803E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_310.jpg;0;0;0;0;99.66999;85.58897;0.000234653;57.35999;-1.017602E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_359.jpg;0;0;0;0;99.66999;85.58897;0.0002348853;57.35999;-6.715767E-07
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_408.jpg;0;0;0;0;99.66999;85.58897;0.0002351601;57.35999;-9.072386E-08
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_457.jpg;0;0;0;0;99.66999;85.58897;0.0002353923;57.35999;2.553009E-07
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_511.jpg;0;0;0;0;99.66999;85.58897;0.0002358145;57.35999;7.125028E-07
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_562.jpg;0;0;0;0;99.66999;85.58897;0.0002359718;57.35999;1.314584E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_611.jpg;0;0;0;0;99.66999;85.58897;0.0002362341;57.35999;1.55818E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_662.jpg;0;0;0;0;99.66999;85.58897;0.0002365538;57.35999;1.985405E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_711.jpg;0;0;0;0;99.66999;85.58897;0.0002366687;57.35999;2.352639E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_761.jpg;0;0;0;0;99.66999;85.58897;0.0002368135;57.35999;2.617463E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_811.jpg;0;0;0;0;99.66999;85.58897;0.0002370758;57.35999;2.861065E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_862.jpg;0;0.1000337;0;0;99.67017;85.58926;0.008383307;57.35986;2.903789E-06
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_912.jpg;0;0.2499459;0;0;99.67036;85.58955;0.01599937;57.42273;-3.812591E-05
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_09_959.jpg;0;0.3950284;0;0.02809932;99.67109;85.59068;0.04512606;57.39396;-4.207838E-05
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_007.jpg;0;0.5407805;0;0.04016843;99.67265;85.59311;0.1039681;57.26942;3.544167E-05
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_061.jpg;0;0.6999105;0;0.07183149;99.67476;85.59639;0.1827837;57.22554;0.0001566916
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_111.jpg;0;0.8497561;0;0.09085491;99.67936;85.60352;0.3483627;57.08813;0.0008481463
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_157.jpg;0;0.9892895;0;0.1190556;99.68347;85.60981;0.4826382;57.05147;-0.0008383421
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_211.jpg;0;1;0;0.1629265;99.69079;85.62103;0.6919374;57.03393;-0.0001746761
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_260.jpg;0;1;0;0.2183337;99.69678;85.63021;0.8494081;57.0666;-0.001301134
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_310.jpg;0;1;0;0.2527897;99.70752;85.64677;1.11012;57.09801;-0.0009950997
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_359.jpg;0;1;0;0.2906495;99.7154;85.65883;1.263994;57.04759;-0.0004823394
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_407.jpg;0;1;0;0.3467353;99.72712;85.67654;1.309776;57.13943;-0.00460886
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_457.jpg;0;1;0;0.413709;99.73485;85.68845;1.218674;57.1339;-0.001550003
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_507.jpg;0;1;0;0.4299589;99.74781;85.70844;1.096325;57.28727;-0.0006235823
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_557.jpg;0;1;0;0.4653989;99.7577;85.72369;1.055795;57.31946;-0.000360914
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_607.jpg;0;1;0;0.5138178;99.77441;85.7496;1.05376;57.39278;-0.0004429433
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_659.jpg;0;1;0;0.5654559;99.78654;85.7684;1.076087;57.37878;0.0001915726
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_710.jpg;0;1;0;0.5860636;99.80647;85.79936;1.151696;57.38356;-2.858051E-05
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_760.jpg;-0.7628748;1;0;0.6301495;99.82072;85.82146;1.213723;57.43335;-0.001551708
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_810.jpg;-3.004716;1;0;0.6612343;99.84288;85.8548;1.238135;57.31041;-0.000303027
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_860.jpg;-5.258983;1;0;0.7128511;99.85902;85.8783;1.237853;57.14316;0.0007581678
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_907.jpg;-7.498458;1;0;0.7659428;99.88543;85.91507;1.223679;56.82624;0.001022894
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_10_957.jpg;-8.124972;1;0;0.795221;99.90441;85.94055;1.206478;56.55595;0.001488591
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_010.jpg;-5.799719;1;0;0.8417637;99.93448;85.98092;1.195711;56.22063;0.001166215
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_059.jpg;-3.515124;1;0;0.88749;99.95524;86.00926;1.200418;56.04016;0.001133847
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_110.jpg;-1.275135;1;0;0.9262559;99.98759;86.05476;1.222992;55.8144;0.0007001205
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_160.jpg;0;1;0;0.9752319;100.0098;86.08673;1.235384;55.7769;-0.0001421597
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_208.jpg;0;1;0;1.007588;100.044;86.13663;1.238289;55.77736;-0.001048919
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_258.jpg;0;1;0;1.039862;100.0677;86.17109;1.230619;55.77173;-0.001046248
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_310.jpg;0;1;0;1.087891;100.1043;86.22454;1.21196;55.74675;-6.522155E-05
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_360.jpg;0;1;0;1.133637;100.13;86.26187;1.221203;55.74689;-0.0007779377
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_410.jpg;0;1;0;1.164054;100.1695;86.3195;1.22181;55.74255;-0.0008102286
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_460.jpg;0;1;0;1.20791;100.1968;86.35916;1.22446;55.71492;-0.0007166397
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_510.jpg;0;1;0;1.242143;100.239;86.42063;1.231656;55.6833;-0.0006564101
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_560.jpg;-1.510471;1;0;1.286296;100.2681;86.46276;1.231673;55.66265;-0.0008743862
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_610.jpg;-3.748351;1;0;1.323729;100.314;86.52753;1.24098;55.44966;0.0002255292
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_660.jpg;-5.9946;1;0;1.364811;100.3461;86.57136;1.240183;55.17942;0.001154466
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_710.jpg;-8.24784;1;0;1.398188;100.3969;86.6379;1.233635;54.55233;0.002346767
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_757.jpg;-7.506721;1;0;1.44293;100.4325;86.68298;1.234164;54.02917;0.003231082
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_808.jpg;-5.369127;1;0;1.475748;100.4877;86.75243;1.243738;53.36657;0.002499958
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_859.jpg;-3.047646;1;0;1.521315;100.5254;86.79996;1.250447;53.03125;0.002225384
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_907.jpg;-0.8492754;1;0;1.551817;100.5829;86.87341;1.257661;52.76641;0.0006716548
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_11_959.jpg;0;1;0;1.598426;100.6218;86.92381;1.258443;52.7162;-0.0003811684
C:\Users\Markus Buchholz\Desktop\UdaCity\RoboND\RoboND-Rover-Project_MARKUS\IMG\robocam_2017_08_19_12_45_12_011.jpg;0;1;0;1.629364;100.6815;87.00142;1.262113;52.68974;-0.0008880333
